,Targets,Target names,sn_types,sn_search_depth,hetesim_metapath_length,num_sn
152,"['C1159946', 'C1517615', 'C0002003', 'C0020456']","['macrophage differentiation', 'JAK-STAT Pathway Deregulation', 'Aldehyde Reductase', 'Hyperglycemia']",[],2,3,1000
153,"['C1159946', 'C1517615', 'C0030892', 'C3273807']","['macrophage differentiation', 'JAK-STAT Pathway Deregulation', 'Pentose Phosphate Pathway', 'Sodium-Glucose Transporter 2 Inhibitors']",[],2,3,1000
154,"['C1159946', 'C1517615', 'C1621903', 'C0856169']","['macrophage differentiation', 'JAK-STAT Pathway Deregulation', 'Name not found', 'Endothelial dysfunction']",[],2,3,1000
155,"['C1159946', 'C1517615', 'C0017658', 'C0178664']","['macrophage differentiation', 'JAK-STAT Pathway Deregulation', 'Glomerulonephritis', 'Glomerulosclerosis (disorder)']",[],2,3,1000
156,"['C1518770', 'C3158849', 'C0596620', 'C0019477']","['Name not found', 'Toll-like receptor 4 binding', 'glucose metabolism', 'Hexosamine']",[],2,3,1000
157,"['C1518770', 'C3158849', 'C0006560', 'C1265831']","['Name not found', 'Toll-like receptor 4 binding', 'C-reactive protein', 'Interstitial inflammation']",[],2,3,1000
158,"['C1518770', 'C3158849', 'C1523829', 'C0063695']","['Name not found', 'Toll-like receptor 4 binding', 'vascular endothelial growth factor receptor 1 binding', 'Intercellular adhesion molecule 1']",[],2,3,871
159,"['C1518770', 'C3158849', 'C0232810', 'C0232809']","['Name not found', 'Toll-like receptor 4 binding', 'Glomerular membrane permeability', 'Glomerular filtration']",[],2,3,1000
160,"['C1565489', 'C0268790', 'C0021655', 'C2754097']","['Renal Insufficiency', 'Renal vascular disorder', 'Insulin Resistance', 'NADPH oxidation']",[],2,3,1000
161,"['C1565489', 'C0268790', 'C1265831', 'C0033687']","['Renal Insufficiency', 'Renal vascular disorder', 'Interstitial inflammation', 'Proteinuria']",[],2,3,1000
162,"['C1565489', 'C0268790', 'C0220248', 'C1523830']","['Renal Insufficiency', 'Renal vascular disorder', 'CD47 Antigen', 'Name not found']",[],2,3,1000
163,"['C1565489', 'C0268790', 'C5450572', 'C1518770']","['Renal Insufficiency', 'Renal vascular disorder', 'interleukin-1 beta secretion', 'Name not found']",[],2,3,1000
164,"['C0020544', 'C0017658', 'C0596620', 'C2754097']","['Renal hypertension', 'Glomerulonephritis', 'glucose metabolism', 'NADPH oxidation']",[],2,3,1000
165,"['C0020544', 'C0017658', 'C1523830', 'C0054953']","['Renal hypertension', 'Glomerulonephritis', 'Name not found', 'CD34 Antigens']",[],2,3,1000
166,"['C0020544', 'C0017658', 'C1149184', 'C0063695']","['Renal hypertension', 'Glomerulonephritis', 'interleukin-1 receptor activity', 'Intercellular adhesion molecule 1']",[],2,3,1000
167,"['C0178664', 'C0232810', 'C0021655', 'C0596620']","['Glomerulosclerosis (disorder)', 'Glomerular membrane permeability', 'Insulin Resistance', 'glucose metabolism']",[],2,3,1000
168,"['C0178664', 'C0232810', 'C0033687', 'C0011881']","['Glomerulosclerosis (disorder)', 'Glomerular membrane permeability', 'Proteinuria', 'Diabetic Nephropathy']",[],2,3,1000
169,"['C0178664', 'C0232810', 'C0063695', 'C1523829']","['Glomerulosclerosis (disorder)', 'Glomerular membrane permeability', 'Intercellular adhesion molecule 1', 'vascular endothelial growth factor receptor 1 binding']",[],2,3,1000
170,"['C0178664', 'C0232810', 'C1515844', 'C5450640']","['Glomerulosclerosis (disorder)', 'Glomerular membrane permeability', 'AKT Signaling Pathway', 'interleukin-6 secretion']",[],2,3,1000
171,"['C0024143', 'C0017658', 'C2754097', 'C0020456']","['Lupus Nephritis', 'Glomerulonephritis', 'NADPH oxidation', 'Hyperglycemia']",[],2,3,1000
172,"['C0024143', 'C0017658', 'C0006560', 'C3273807']","['Lupus Nephritis', 'Glomerulonephritis', 'C-reactive protein', 'Sodium-Glucose Transporter 2 Inhibitors']",[],2,3,1000
173,"['C0024143', 'C0017658', 'C0063695', 'C3271539']","['Lupus Nephritis', 'Glomerulonephritis', 'Intercellular adhesion molecule 1', 'Name not found']",[],2,3,1000
174,"['C0024143', 'C0017658', 'C1515844', 'C1456820']","['Lupus Nephritis', 'Glomerulonephritis', 'AKT Signaling Pathway', 'Tumor Necrosis Factor-alpha']",[],2,3,1000
175,"['C0443255', 'C0232810', 'C0020456', 'C0596620']","['Mesangial expansion', 'Glomerular membrane permeability', 'Hyperglycemia', 'glucose metabolism']",[],2,3,1000
176,"['C0443255', 'C0232810', 'C0035096', 'C0006560']","['Mesangial expansion', 'Glomerular membrane permeability', 'Renin-angiotensin system', 'C-reactive protein']",[],2,3,1000
177,"['C0443255', 'C0232810', 'C3537282', 'C1523829']","['Mesangial expansion', 'Glomerular membrane permeability', 'Plasmalemma Vesicle-Associated Protein', 'vascular endothelial growth factor receptor 1 binding']",[],2,3,1000
178,"['C0443255', 'C0232810', 'C1149184', 'C1159946']","['Mesangial expansion', 'Glomerular membrane permeability', 'interleukin-1 receptor activity', 'macrophage differentiation']",[],2,3,1000
179,"['C0443255', 'C0017658', 'C0002003', 'C0598528']","['Mesangial expansion', 'Glomerulonephritis', 'Aldehyde Reductase', 'glycation']",[],2,3,1000
180,"['C0443255', 'C0017658', 'C0006560', 'C3273807']","['Mesangial expansion', 'Glomerulonephritis', 'C-reactive protein', 'Sodium-Glucose Transporter 2 Inhibitors']",[],2,3,1000
181,"['C0443255', 'C0017658', 'C0054953', 'C1621903']","['Mesangial expansion', 'Glomerulonephritis', 'CD34 Antigens', 'Name not found']",[],2,3,810
182,"['C0443255', 'C0017658', 'C1515844', 'C0115305']","['Mesangial expansion', 'Glomerulonephritis', 'AKT Signaling Pathway', 'E-Selectin']",[],2,3,1000
183,"['C0178664', 'C0443255', 'C2754097', 'C0598528']","['Glomerulosclerosis (disorder)', 'Mesangial expansion', 'NADPH oxidation', 'glycation']",[],2,3,1000
184,"['C0178664', 'C0443255', 'C1265831', 'C3273807']","['Glomerulosclerosis (disorder)', 'Mesangial expansion', 'Interstitial inflammation', 'Sodium-Glucose Transporter 2 Inhibitors']",[],2,3,1000
185,"['C0178664', 'C0443255', 'C0063695', 'C0206117']","['Glomerulosclerosis (disorder)', 'Mesangial expansion', 'Intercellular adhesion molecule 1', 'Gap Junctions']",[],2,3,1000
186,"['C0178664', 'C0443255', 'C3158849', 'C3158847']","['Glomerulosclerosis (disorder)', 'Mesangial expansion', 'Toll-like receptor 4 binding', 'MyD88-dependent toll-like receptor 4 signaling pathway']",[],2,3,1000
187,"['C1565489', 'C0268790', 'C1151146', 'C0596620']","['Renal Insufficiency', 'Renal vascular disorder', 'NADPH oxidase activity', 'glucose metabolism']",[],2,3,1000
188,"['C1565489', 'C0268790', 'C0006560', 'C0853068']","['Renal Insufficiency', 'Renal vascular disorder', 'C-reactive protein', 'Glomerular filtration rate decreased']",[],2,3,1000
189,"['C1565489', 'C0268790', 'C3537282', 'C0220248']","['Renal Insufficiency', 'Renal vascular disorder', 'Plasmalemma Vesicle-Associated Protein', 'CD47 Antigen']",[],2,3,1000
190,"['C1565489', 'C0268790', 'C1518770', 'C0063695']","['Renal Insufficiency', 'Renal vascular disorder', 'Name not found', 'Intercellular adhesion molecule 1']",[],2,3,1000
191,"['C0268790', 'C0232810', 'C2754097', 'C0020456']","['Renal vascular disorder', 'Glomerular membrane permeability', 'NADPH oxidation', 'Hyperglycemia']",[],2,3,1000
192,"['C0268790', 'C0232810', 'C3158808', 'C1265831']","['Renal vascular disorder', 'Glomerular membrane permeability', 'renal glucose absorption', 'Interstitial inflammation']",[],2,3,1000
193,"['C0268790', 'C0232810', 'C1523829', 'C1621903']","['Renal vascular disorder', 'Glomerular membrane permeability', 'vascular endothelial growth factor receptor 1 binding', 'Name not found']",[],2,3,1000
194,"['C0268790', 'C0232810', 'C0063695', 'C1515844']","['Renal vascular disorder', 'Glomerular membrane permeability', 'Intercellular adhesion molecule 1', 'AKT Signaling Pathway']",[],2,3,1000
195,"['C0232809', 'C1565489', 'C0019477', 'C0598528']","['Glomerular filtration', 'Renal Insufficiency', 'Hexosamine', 'glycation']",[],2,3,1000
196,"['C0232809', 'C1565489', 'C0030892', 'C3158808']","['Glomerular filtration', 'Renal Insufficiency', 'Pentose Phosphate Pathway', 'renal glucose absorption']",[],2,3,1000
197,"['C0232809', 'C1565489', 'C1523829', 'C3537282']","['Glomerular filtration', 'Renal Insufficiency', 'vascular endothelial growth factor receptor 1 binding', 'Plasmalemma Vesicle-Associated Protein']",[],2,3,1000
198,"['C0232809', 'C1565489', 'C5450572', 'C4327687']","['Glomerular filtration', 'Renal Insufficiency', 'interleukin-1 beta secretion', 'macrophage migration']",[],2,3,1000
